genome_id,quality,organism,genus,species,strain,isolation_source,country,location,lat_lon,collection_date,genus_gtdb,species_gtdb,Mash_species
NBC_00193,MQ,Streptomyces sp. NBC_00193,Streptomyces,sp.,NBC_00193,soil,Denmark,"Lyngby, Small hill with plants just outside CFB (DTU campus). Plants were all very dark green. Soil clearly had lots of nutrients",55.7869 N 12.5189 E,2016-08,g__Streptomyces,s__,sp_mash_035
NBC_00120,MQ,Streptomyces sp. NBC_00120,Streptomyces,sp.,NBC_00120,soil,Denmark,"Birkeroed, Nex to farm while riding home from Hoersholm",55.8706 N 12.4739 E,2016-08,g__Streptomyces,sp003403055,
NBC_01306,MQ,Streptomyces sp. NBC_01306,Streptomyces,sp.,NBC_01306,,Denmark,"Livoe, Ege-Hasselskoven",56.8950 N 9.0803 E,2020-07-18,g__Streptomyces,s__,sp_mash_008
NBC_01681,MQ,Streptomyces cellulosae,Streptomyces,cellulosae,NBC_01681,soil,Netherlands,"Hegelsom, Wild flower garden",,2021-05,g__Streptomyces,cellulosae,
NBC_01571,MQ,Streptomyces sp. NBC_01571,Streptomyces,sp.,NBC_01571,soil,Denmark,"Stenbjerg, marsh",56.9136 N 8.3811 E,2021-03,g__Streptomyces,s__,sp_mash_036
NBC_00201,MQ,Streptomyces sp. NBC_00201,Streptomyces,sp.,NBC_00201,soil,Denmark,"Birkeroed, Nex to farm while riding home from Hoersholm",55.8706 N 12.4739 E,2016-08,g__Streptomyces,s__,sp_mash_002
NBC_00227,MQ,Streptomyces virginiae,Streptomyces,virginiae,NBC_00227,soil,Denmark,"Copenhagen, Christiania, directly beneath a large pot plant",55.6736 N 12.5997 E,2016-09,g__Streptomyces,virginiae_A,
NBC_01379,MQ,Streptomyces uncialis,Streptomyces,uncialis,NBC_01379,,Denmark,"Givskud, Field of grass / brush",55.8081 N 9.3697 E,2020-07-01,g__Streptomyces,uncialis,
NBC_01142,MQ,Streptomyces sp. NBC_01142,Streptomyces,sp.,NBC_01142,soil,Denmark,"Roskilde, B - Kaellingehaven, Next to rock",55.6544 N 12.0686 E,2020-01,g__Streptomyces,s__,sp_mash_074
NBC_00086,MQ,Streptomyces sp. NBC_00086,Streptomyces,sp.,NBC_00086,,Denmark,"Hoersholm, Near raspberry bush in Hoersholm",55.8694 N 12.4981 E,2016-07-25,g__Streptomyces,s__,sp_mash_075
NBC_00347,MQ,Streptomyces sp. NBC_00347,Streptomyces,sp.,NBC_00347,soil,Germany,"Buehl, Compost heap",,2016-11,g__Streptomyces,s__,sp_mash_035
NBC_01334,HQ,Streptomyces sp. NBC_01334,Streptomyces,sp.,NBC_01334,,Denmark,"Birkeroed, Raavaenget 34, near Sct. Hansurt 1",,2020-08-01,g__Streptomyces,sp001298545,
NBC_01381,MQ,Streptomyces sp. NBC_01381,Streptomyces,sp.,NBC_01381,,Denmark,Stevns Klint,55.27703 N 12.44450 E,2020-07-01,g__Streptomyces,s__,sp_mash_076
NBC_01645,MQ,Streptomyces anulatus,Streptomyces,anulatus,NBC_01645,soil,Denmark,"Kolding, ved Kolding Hus I rabarber bed",55.4914 N 9.4758 E,2021-05,g__Streptomyces,anulatus,
NBC_00310,HQ,Streptomyces sp. NBC_00310,Streptomyces,sp.,NBC_00310,,Germany,"Buhl, Compost heap",,2016-11-07/2016-11-13,g__Streptomyces,s__,sp_mash_009
NBC_00160,MQ,Streptomyces sp. NBC_00160,Streptomyces,sp.,NBC_00160,,Portugal,garden,,2016-08-22/2016-08-28,g__Streptomyces,spororaveus,
NBC_01623,MQ,Streptomyces anulatus,Streptomyces,anulatus,NBC_01623,soil,Denmark,"Lejre, Roskilde",55.6142 N 11.9508 E,2021-04,g__Streptomyces,anulatus,
NBC_01565,MQ,Streptomyces sp. NBC_01565,Streptomyces,sp.,NBC_01565,soil,Denmark,"Lyngby, DTU campus; hole in the ground dug out by an animal",55.7878 N 12.5267 E,2021-03,g__Streptomyces,s__,sp_mash_037
NBC_00893,MQ,Streptomyces sp. NBC_00893,Streptomyces,sp.,NBC_00893,soil,Denmark,"Koege, Koege cow field",,2017-05,g__Streptomyces,sp003846175,
NBC_01287,MQ,Kitasatospora sp. NBC_01287,Kitasatospora,sp.,NBC_01287,,Denmark,"Knudsoe, mossy forest soil",56.09619 N 9.77531 E,2020-07-01,g__Kitasatospora,s__,sp_mash_077
NBC_01670,MQ,Streptomyces albidoflavus,Streptomyces,albidoflavus,NBC_01670,soil,Netherlands,"Hegelsom, Chicken field",,2021-05,g__Streptomyces,albidoflavus,
NBC_00083,MQ,Streptomyces sp. NBC_00083,Streptomyces,sp.,NBC_00083,soil,United Kingdom,"Scotland, Edinburgh, Colton Hill",55.9544 N 3.1847 W,2016-08,g__Streptomyces,s__,sp_mash_078
NBC_00465,MQ,Streptomyces coelicoflavus,Streptomyces,coelicoflavus,NBC_00465,soil,Denmark,"Hilleroed, Olivier s garden; where birds go poop",,2016-10,g__Streptomyces,coelicoflavus,
NBC_01655,MQ,Micromonospora sp. NBC_01655,Micromonospora,sp.,NBC_01655,soil,Denmark,"Soeby, Aeroe, Under a tree near Soeby campsite close to sea",54.9372 N 10.2444 E,2021-05,g__Micromonospora,sp003434305,
NBC_00635,HQ,Streptomyces longwoodensis,Streptomyces,longwoodensis,NBC_00635,,Denmark,"Hoersholm, Near raspberry bush in Hoersholm",55.8694 N 12.4981 E,2016-07-25,g__Streptomyces,longwoodensis,
NBC_00264,MQ,Streptomyces sp. NBC_00264,Streptomyces,sp.,NBC_00264,soil,Spain,Andratx,39.5392 N 2.4264 E,2016-10,g__Streptomyces,sp003846175,
