genome_id,genome_id,genus,source,species,quality,completeness,contamination,N50,contigs,genome_len,gc
GCF_000009765.2,GCF_000009765.2,Streptomyces,NCBI,avermitilis,HQ,99.89,0.79,9025608,2,9119895,0.7070135127652237
GCF_000010605.1,GCF_000010605.1,Streptomyces,NCBI,griseus,HQ,99.84,0.0,8545929,1,8545929,0.7222740792721306
GCF_000091305.1,GCF_000091305.1,Streptomyces,NCBI,scabiei,HQ,100.0,0.0,10148695,1,10148695,0.7145283211289727
GCF_000092385.1,GCF_000092385.1,Streptomyces,NCBI,milbemycinicus,HQ,99.74,1.96,11936683,1,11936683,0.7075458902611387
GCF_000147815.2,GCF_000147815.2,Streptomyces,NCBI,violaceusniger_A,HQ,100.0,1.05,10657107,3,11138313,0.708763616177782
GCF_000148465.1,GCF_000148465.1,Streptomyces,NCBI,clavuligerus,HQ,99.58,1.07,6742175,5,9143376,0.7238901143410746
GCF_000154885.1,GCF_000154885.1,Streptomyces,NCBI,goshikiensis,LQ,84.47,2.39,103660,127,7260368,0.7117291231307497
GCF_000154905.1,GCF_000154905.1,Streptomyces,NCBI,sp000154905,MQ,90.99,0.11,6808467,2,6970553,0.729957408349562
GCF_000154925.1,GCF_000154925.1,Streptomyces,NCBI,clavuligerus,LQ,75.3,1.4,80843,158,6941735,0.7105804562462124
GCF_000154945.1,GCF_000154945.1,Streptomyces,NCBI,pristinaespiralis,HQ,92.25,0.35,8133379,1,8133379,0.7116314183762883
GCF_000154965.1,GCF_000154965.1,Streptomyces,NCBI,sviceus,HQ,96.64,0.43,9313494,1,9313494,0.7046408982540452
GCF_000156435.1,GCF_000156435.1,Streptomyces,NCBI,viridosporus,MQ,95.69,0.84,8265412,3,8511919,0.7221727150656952
GCF_000156455.1,GCF_000156455.1,Streptomyces,NCBI,parvus,MQ,96.83,0.6,7817295,1,7817295,0.7135566976354502
GCF_000156475.1,GCF_000156475.1,Streptomyces,NCBI,albidoflavus,MQ,95.17,1.0,6813830,2,6823670,0.7314659227197831
GCF_000156695.2,GCF_000156695.2,Streptomyces,NCBI,parvus,MQ,99.07,0.53,7851943,1,7851943,0.7141584951226563
GCF_000158855.1,GCF_000158855.1,Streptomyces,NCBI,sp000213055,MQ,91.37,0.05,7524334,4,7557384,0.7290031162764266
GCF_000158875.1,GCF_000158875.1,Amycolatopsis,NCBI,sp002796545,MQ,99.50738916256158,0.0,8475969,4,9175669,0.6978452765092265
GCF_000158895.1,GCF_000158895.1,Streptomyces,NCBI,sp000158895,MQ,94.58,1.1,7450102,4,8461333,0.7260643293787892
GCF_000158915.1,GCF_000158915.1,Streptomyces,NCBI,himastatinicus,MQ,93.29,1.05,10901646,2,11030030,0.7121546267701838
GCF_000158935.1,GCF_000158935.1,Streptomyces,NCBI,anthocyanicus,MQ,97.14,0.0,8318010,1,8318010,0.7217541885268348
GCF_000158955.1,GCF_000158955.1,Streptomyces,NCBI,viridochromogenes_B,MQ,98.35,0.0,8653262,1,8653262,0.7112371870784521
GCF_000158975.1,GCF_000158975.1,Streptomyces,NCBI,fungicidicus,MQ,91.13,0.86,8047042,1,8047042,0.7167084099895004
GCF_000162775.1,GCF_000162775.1,Streptomyces,NCBI,sennicomposti,MQ,94.1,0.0,5985616,13,7928946,0.7266584907550815
GCF_000163875.1,GCF_000163875.1,Streptomyces,NCBI,clavuligerus,HQ,98.93,0.72,6760392,2,8556892,0.7249717619852828
GCF_000177175.2,GCF_000177175.2,Streptomyces,NCBI,griseus,MQ,99.84,0.0,8727767,2,8731683,0.7211042946049989
GCF_000177195.2,GCF_000177195.2,Streptomyces,NCBI,sp000177195,HQ,99.93,0.0,7414440,1,7414440,0.7174815630040839
GCF_000179195.1,GCF_000179195.1,Streptomyces,NCBI,sp000213055,LQ,99.89,0.0,59002,254,7443083,0.7332218383161924
GCF_000179215.1,GCF_000179215.1,Streptomyces,NCBI,sp000213055,LQ,97.66,0.43,9224,1275,7217762,0.7308576399650362
GCF_000204605.1,GCF_000204605.1,Streptomyces,NCBI,griseoaurantiacus,MQ,100.0,0.0,280341,46,7712377,0.7273114371872641
GCF_000213055.1,GCF_000213055.1,Streptomyces,NCBI,sp000213055,HQ,99.89,0.0,7359380,2,7506727,0.7307653623924567
GCF_000220705.2,GCF_000220705.2,Streptomyces,NCBI,xinghaiensis,HQ,100.0,1.32,7137891,1,7137891,0.7313751358769698
GCF_000225525.1,GCF_000225525.1,Streptomyces,NCBI,zinciresistens,LQ,100.0,1.7,31811,525,8221694,0.7245766778204927
GCF_000226455.1,GCF_000226455.1,Streptomyces,NCBI,chartreusis_D,MQ,100.0,0.0,228498,89,8893692,0.7129132828826161
GCF_000237305.1,GCF_000237305.1,Streptomyces,NCBI,cattleya,HQ,100.0,0.0,6283062,2,8092553,0.7301474577923679
GCF_000239075.1,GCF_000239075.1,Streptomyces,NCBI,anulatus,LQ,99.69,0.18,59300,284,9057348,0.7135597999678934
GCF_000240165.1,GCF_000240165.1,Streptomyces,NCBI,cattleya,HQ,100.0,0.0,6282967,2,8095515,0.7301351427302648
GCF_000242715.1,GCF_000242715.1,Streptomyces,NCBI,acidiscabies,LQ,100.0,1.43,113361,244,11005945,0.7059129464385093
GCF_000245355.1,GCF_000245355.1,Streptomyces,NCBI,olivaceoviridis,HQ,99.89,1.54,10145833,3,10383684,0.7184030945474742
GCF_000253235.1,GCF_000253235.1,Streptomyces,NCBI,venezuelae,HQ,99.49,1.02,8226158,1,8226158,0.7248099732724904
GCF_000258595.1,GCF_000258595.1,Streptomyces,NCBI,sudanensis,LQ,97.59786476868328,1.2850929221035985,33216,243,5176903,0.7412350588759341
GCF_000259895.1,GCF_000259895.1,Streptomyces,NCBI,rochei,LQ,100.0,0.72,20147,729,8013370,0.726206577257758
GCF_000261345.2,GCF_000261345.2,Streptomyces,NCBI,rubiginosohelvolus,HQ,99.84,0.0,7608611,3,7783599,0.7154212338019983
GCF_000262345.1,GCF_000262345.1,Streptomyces,NCBI,xiaopingdaonensis,LQ,99.47,0.58,30588,385,6466982,0.7222050409294475
GCF_000269985.1,GCF_000269985.1,Kitasatospora,NCBI,setae,HQ,100.0,3.6,8783278,1,8783278,0.7419750348332366
GCF_000280865.2,GCF_000280865.2,Streptomyces,NCBI,sioyaensis,HQ,99.91,0.52,7901452,1,7901452,0.7142961825244272
GCF_000280905.1,GCF_000280905.1,Streptomyces,NCBI,sp000280905,LQ,98.84,0.21,121115,109,7285977,0.7274678467966615
GCF_000297155.3,GCF_000297155.3,Streptomyces,NCBI,tsukubensis,HQ,99.23,1.35,7950181,3,8005998,0.7185725002679241
GCF_000297635.1,GCF_000297635.1,Streptomyces,NCBI,harbinensis,MQ,95.82,0.88,178777,57,5768564,0.7292147577802726
GCF_000299175.2,GCF_000299175.2,Streptomyces,NCBI,albidoflavus,MQ,96.16,0.43,6942344,11,7145211,0.7332605499565578
GCF_000302615.1,GCF_000302615.1,Streptomyces,NCBI,wedmorensis,MQ,98.23,0.88,418211,69,8119746,0.7241101522518125
GCF_000316095.1,GCF_000316095.1,Streptomyces,NCBI,viridosporus,MQ,99.89,0.63,6495835,6,8293298,0.7250636522359275
GCF_000317595.1,GCF_000317595.1,Streptomyces,NCBI,ipomoeae,LQ,99.89,1.0,26361,687,10403856,0.7016676316934798
