,genus_init,genus_gtdb,quality,genome_id
GCF_000009765.2,Streptomyces,Streptomyces_G,HQ,GCF_000009765.2
GCF_000010605.1,Streptomyces,Streptomyces_G,HQ,GCF_000010605.1
GCF_000091305.1,Streptomyces,Streptomyces_G,HQ,GCF_000091305.1
GCF_000092385.1,Streptomyces,Streptomyces_G,HQ,GCF_000092385.1
GCF_000147815.2,Streptomyces,Streptomyces_G,HQ,GCF_000147815.2
GCF_000148465.1,Streptomyces,Streptomyces_G,HQ,GCF_000148465.1
GCF_000154885.1,Streptomyces,Streptomyces_G,LQ,GCF_000154885.1
GCF_000154905.1,Streptomyces,Streptomyces_G,MQ,GCF_000154905.1
GCF_000154925.1,Streptomyces,Streptomyces_G,LQ,GCF_000154925.1
GCF_000154945.1,Streptomyces,Streptomyces_G,HQ,GCF_000154945.1
GCF_000154965.1,Streptomyces,Streptomyces_G,HQ,GCF_000154965.1
GCF_000156435.1,Streptomyces,Streptomyces_G,MQ,GCF_000156435.1
GCF_000156455.1,Streptomyces,Streptomyces_G,MQ,GCF_000156455.1
GCF_000156475.1,Streptomyces,Streptomyces_G,MQ,GCF_000156475.1
GCF_000156695.2,Streptomyces,Streptomyces_G,MQ,GCF_000156695.2
GCF_000158855.1,Streptomyces,Streptomyces_G,MQ,GCF_000158855.1
GCF_000158875.1,Streptomyces,non-Streptomyces_G,MQ,GCF_000158875.1
GCF_000158895.1,Streptomyces,Streptomyces_G,MQ,GCF_000158895.1
GCF_000158915.1,Streptomyces,Streptomyces_G,MQ,GCF_000158915.1
GCF_000158935.1,Streptomyces,Streptomyces_G,MQ,GCF_000158935.1
GCF_000158955.1,Streptomyces,Streptomyces_G,MQ,GCF_000158955.1
GCF_000158975.1,Streptomyces,Streptomyces_G,MQ,GCF_000158975.1
GCF_000162775.1,Streptomyces,Streptomyces_G,MQ,GCF_000162775.1
GCF_000163875.1,Streptomyces,Streptomyces_G,HQ,GCF_000163875.1
GCF_000177175.2,Streptomyces,Streptomyces_G,MQ,GCF_000177175.2
GCF_000177195.2,Streptomyces,Streptomyces_G,HQ,GCF_000177195.2
GCF_000179195.1,Streptomyces,Streptomyces_G,LQ,GCF_000179195.1
GCF_000179215.1,Streptomyces,Streptomyces_G,LQ,GCF_000179215.1
GCF_000204605.1,Streptomyces,Streptomyces_G,MQ,GCF_000204605.1
GCF_000213055.1,Streptomyces,Streptomyces_G,HQ,GCF_000213055.1
GCF_000220705.2,Streptomyces,Streptomyces_G,HQ,GCF_000220705.2
GCF_000225525.1,Streptomyces,Streptomyces_G,LQ,GCF_000225525.1
GCF_000226455.1,Streptomyces,Streptomyces_G,MQ,GCF_000226455.1
GCF_000237305.1,Streptomyces,Streptomyces_G,HQ,GCF_000237305.1
GCF_000239075.1,Streptomyces,Streptomyces_G,LQ,GCF_000239075.1
GCF_000240165.1,Streptomyces,Streptomyces_G,HQ,GCF_000240165.1
GCF_000242715.1,Streptomyces,Streptomyces_G,LQ,GCF_000242715.1
GCF_000245355.1,Streptomyces,Streptomyces_G,HQ,GCF_000245355.1
GCF_000253235.1,Streptomyces,Streptomyces_G,HQ,GCF_000253235.1
GCF_000258595.1,Streptomyces,Streptomyces_G,LQ,GCF_000258595.1
GCF_000259895.1,Streptomyces,Streptomyces_G,LQ,GCF_000259895.1
GCF_000261345.2,Streptomyces,Streptomyces_G,HQ,GCF_000261345.2
GCF_000262345.1,Streptomyces,Streptomyces_G,LQ,GCF_000262345.1
GCF_000269985.1,non-Streptomyces,non-Streptomyces_G,HQ,GCF_000269985.1
GCF_000280865.2,Streptomyces,Streptomyces_G,HQ,GCF_000280865.2
GCF_000280905.1,Streptomyces,Streptomyces_G,LQ,GCF_000280905.1
GCF_000297155.3,Streptomyces,Streptomyces_G,HQ,GCF_000297155.3
GCF_000297635.1,Streptomyces,Streptomyces_G,MQ,GCF_000297635.1
GCF_000299175.2,Streptomyces,Streptomyces_G,MQ,GCF_000299175.2
GCF_000302615.1,Streptomyces,Streptomyces_G,MQ,GCF_000302615.1
GCF_000316095.1,Streptomyces,Streptomyces_G,MQ,GCF_000316095.1
GCF_000317595.1,Streptomyces,Streptomyces_G,LQ,GCF_000317595.1
GCF_000331005.1,Streptomyces,Streptomyces_G,LQ,GCF_000331005.1
GCF_000331185.2,Streptomyces,Streptomyces_G,HQ,GCF_000331185.2
GCF_000332625.1,Streptomyces,Streptomyces_G,LQ,GCF_000332625.1
GCF_000340335.1,Streptomyces,Streptomyces_G,MQ,GCF_000340335.1
GCF_000340845.1,Streptomyces,Streptomyces_G,HQ,GCF_000340845.1
GCF_000342125.1,Streptomyces,Streptomyces_G,LQ,GCF_000342125.1
GCF_000342345.1,Streptomyces,Streptomyces_G,LQ,GCF_000342345.1
GCF_000349325.1,Streptomyces,Streptomyces_G,HQ,GCF_000349325.1
GCF_000359525.1,Streptomyces,Streptomyces_G,HQ,GCF_000359525.1
GCF_000364805.1,Streptomyces,Streptomyces_G,HQ,GCF_000364805.1
GCF_000367365.1,Streptomyces,Streptomyces_G,LQ,GCF_000367365.1
GCF_000372745.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000372745.1
GCF_000373225.1,Streptomyces,Streptomyces_G,MQ,GCF_000373225.1
GCF_000373305.1,Streptomyces,Streptomyces_G,MQ,GCF_000373305.1
GCF_000373405.1,Streptomyces,Streptomyces_G,MQ,GCF_000373405.1
GCF_000373525.1,Streptomyces,Streptomyces_G,MQ,GCF_000373525.1
GCF_000373565.1,Streptomyces,Streptomyces_G,MQ,GCF_000373565.1
GCF_000373585.1,Streptomyces,Streptomyces_G,LQ,GCF_000373585.1
GCF_000373625.1,Streptomyces,Streptomyces_G,MQ,GCF_000373625.1
GCF_000373645.1,Streptomyces,Streptomyces_G,MQ,GCF_000373645.1
GCF_000373665.1,Streptomyces,Streptomyces_G,MQ,GCF_000373665.1
GCF_000373685.1,Streptomyces,Streptomyces_G,MQ,GCF_000373685.1
GCF_000375625.1,Streptomyces,Streptomyces_G,MQ,GCF_000375625.1
GCF_000375725.1,Streptomyces,Streptomyces_G,MQ,GCF_000375725.1
GCF_000376565.1,Streptomyces,Streptomyces_G,LQ,GCF_000376565.1
GCF_000380165.1,Streptomyces,non-Streptomyces_G,LQ,GCF_000380165.1
GCF_000381025.1,Streptomyces,Streptomyces_G,MQ,GCF_000381025.1
GCF_000382745.1,Streptomyces,Streptomyces_G,MQ,GCF_000382745.1
GCF_000383595.1,Streptomyces,Streptomyces_G,MQ,GCF_000383595.1
GCF_000383615.1,Streptomyces,Streptomyces_G,LQ,GCF_000383615.1
GCF_000383635.1,Streptomyces,Streptomyces_G,MQ,GCF_000383635.1
GCF_000383655.1,Streptomyces,Streptomyces_G,MQ,GCF_000383655.1
GCF_000383935.1,Streptomyces,Streptomyces_G,MQ,GCF_000383935.1
GCF_000384175.1,Streptomyces,Streptomyces_G,MQ,GCF_000384175.1
GCF_000385945.1,Streptomyces,Streptomyces_G,HQ,GCF_000385945.1
GCF_000403665.1,Streptomyces,Streptomyces_G,HQ,GCF_000403665.1
GCF_000403765.2,Streptomyces,Streptomyces_G,LQ,GCF_000403765.2
GCF_000404005.1,Streptomyces,Streptomyces_G,MQ,GCF_000404005.1
GCF_000411315.1,Streptomyces,Streptomyces_G,LQ,GCF_000411315.1
GCF_000411495.1,Streptomyces,Streptomyces_G,MQ,GCF_000411495.1
GCF_000412265.2,Streptomyces,Streptomyces_G,HQ,GCF_000412265.2
GCF_000414115.1,Streptomyces,Streptomyces_G,LQ,GCF_000414115.1
GCF_000415505.1,Streptomyces,Streptomyces_G,LQ,GCF_000415505.1
GCF_000418455.1,Streptomyces,Streptomyces_G,HQ,GCF_000418455.1
GCF_000424945.1,Streptomyces,Streptomyces_G,MQ,GCF_000424945.1
GCF_000429085.1,Streptomyces,Streptomyces_G,MQ,GCF_000429085.1
GCF_000444875.1,Streptomyces,Streptomyces_G,HQ,GCF_000444875.1
GCF_000478605.2,Streptomyces,Streptomyces_G,MQ,GCF_000478605.2
GCF_000495635.2,Streptomyces,Streptomyces_G,HQ,GCF_000495635.2
GCF_000495755.1,Streptomyces,Streptomyces_G,HQ,GCF_000495755.1
GCF_000497425.1,Streptomyces,Streptomyces_G,HQ,GCF_000497425.1
GCF_000497445.1,Streptomyces,Streptomyces_G,HQ,GCF_000497445.1
GCF_000498935.1,Streptomyces,Streptomyces_G,LQ,GCF_000498935.1
GCF_000504065.1,Streptomyces,Streptomyces_G,LQ,GCF_000504065.1
GCF_000518045.1,Streptomyces,Streptomyces_G,LQ,GCF_000518045.1
GCF_000590515.1,Streptomyces,Streptomyces_G,LQ,GCF_000590515.1
GCF_000611795.1,Streptomyces,Streptomyces_G,MQ,GCF_000611795.1
GCF_000612545.1,Streptomyces,Streptomyces_G,MQ,GCF_000612545.1
GCF_000647875.1,Streptomyces,Streptomyces_G,MQ,GCF_000647875.1
GCF_000695235.1,Streptomyces,Streptomyces_G,HQ,GCF_000695235.1
GCF_000696185.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_000696185.1
GCF_000696595.1,Streptomyces,Streptomyces_G,LQ,GCF_000696595.1
GCF_000698495.1,Streptomyces,Streptomyces_G,MQ,GCF_000698495.1
GCF_000698945.1,Streptomyces,Streptomyces_G,LQ,GCF_000698945.1
GCF_000700005.2,Streptomyces,Streptomyces_G,LQ,GCF_000700005.2
GCF_000702365.1,Streptomyces,Streptomyces_G,MQ,GCF_000702365.1
GCF_000707925.2,Streptomyces,Streptomyces_G,HQ,GCF_000707925.2
GCF_000707945.1,Streptomyces,Streptomyces_G,MQ,GCF_000707945.1
GCF_000707965.1,Streptomyces,Streptomyces_G,LQ,GCF_000707965.1
GCF_000709915.1,Streptomyces,Streptomyces_G,MQ,GCF_000709915.1
GCF_000710405.2,non-Streptomyces,non-Streptomyces_G,MQ,GCF_000710405.2
GCF_000710465.2,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000710465.2
GCF_000715745.1,Streptomyces,Streptomyces_G,LQ,GCF_000715745.1
GCF_000715845.1,Streptomyces,Streptomyces_G,LQ,GCF_000715845.1
GCF_000716025.1,Streptomyces,Streptomyces_G,MQ,GCF_000716025.1
GCF_000716215.1,Streptomyces,Streptomyces_G,LQ,GCF_000716215.1
GCF_000716335.1,Streptomyces,Streptomyces_G,LQ,GCF_000716335.1
GCF_000716435.1,Streptomyces,Streptomyces_G,LQ,GCF_000716435.1
GCF_000716445.1,Streptomyces,Streptomyces_G,LQ,GCF_000716445.1
GCF_000716455.1,Streptomyces,Streptomyces_G,LQ,GCF_000716455.1
GCF_000716515.1,Streptomyces,Streptomyces_G,LQ,GCF_000716515.1
GCF_000716525.1,Streptomyces,Streptomyces_G,LQ,GCF_000716525.1
GCF_000716535.1,Streptomyces,Streptomyces_G,LQ,GCF_000716535.1
GCF_000716545.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000716545.1
GCF_000716605.1,Streptomyces,Streptomyces_G,LQ,GCF_000716605.1
GCF_000716615.1,Streptomyces,Streptomyces_G,LQ,GCF_000716615.1
