genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_000009765.2,PRJNA189,ASM976v2,Complete Genome,na,SAMD00061088,2016-03-24,GCA_000009765.2,full,Streptomyces,Streptomyces avermitilis MA-4680 = NBRC 14893 (high GC Gram+),GCF_000009765.2,Representative Genome,yes,minor,avermitilis,MA-4680,NITE,227882
GCF_000010605.1,PRJDA20085,ASM1060v1,Complete Genome,na,SAMD00060929,2008-04-08,GCA_000010605.1,full,Streptomyces,Streptomyces griseus subsp. griseus NBRC 13350 (high GC Gram+),GCF_000010605.1,Representative Genome,yes,major,griseus,NBRC 13350,The University of Tokyo,455632
GCF_000091305.1,PRJEA40749,ASM9130v1,Complete Genome,na,SAMEA2272773,2009-10-06,GCA_000091305.1,full,Streptomyces,Streptomyces scabiei 87.22 (high GC Gram+),GCF_000091305.1,Representative Genome,yes,major,scabiei,87.22,Wellcome Trust Sanger Institute,680198
GCF_000092385.1,PRJNA46847,ASM9238v1,Complete Genome,na,SAMN02603683,2010-05-28,GCA_000092385.1,full,Streptomyces,Streptomyces bingchenggensis BCW-1 (high GC Gram+),GCF_000092385.1,,yes,major,bingchenggensis,BCW-1,Northeast Agricultural University,749414
GCF_000147815.2,PRJNA43031,ASM14781v3,Complete Genome,na,SAMN00016986,2011-08-23,GCA_000147815.3,full,Streptomyces,Streptomyces violaceusniger Tu 4113 (high GC Gram+),GCF_000147815.2,,yes,major,violaceusniger,Tu 4113,US DOE Joint Genome Institute (JGI-PGF),653045
GCF_000148465.1,PRJNA19249,Scla_1.0,Chromosome,na,SAMN02470183,2010-09-24,GCA_000148465.1,full,Streptomyces,Streptomyces clavuligerus (high GC Gram+),GCF_000148465.1,,yes,major,clavuligerus,ATCC 27064,Korea Research Institute of Bioscience and Biotechnology (KRIBB),1901
GCF_000154885.1,PRJNA28547,ASM15488v1,Scaffold,na,SAMN02595219,2008-03-04,GCA_000154885.1,full,Streptomyces,Streptomyces sp. Mg1 (high GC Gram+),GCF_000154885.1,,yes,major,sp.,Mg1,Broad Institute,465541
GCF_000154905.1,PRJNA28549,ASM15490v1,Scaffold,na,SAMN02595220,2010-05-06,GCA_000154905.1,full,Streptomyces,Streptomyces sp. SPB074 (high GC Gram+),GCF_000154905.1,,yes,major,sp.,SPB074,Broad Institute,465543
GCF_000154925.1,PRJNA28551,ASM15492v1,Scaffold,na,SAMN02595221,2008-03-04,GCA_000154925.1,full,Streptomyces,Streptomyces clavuligerus (high GC Gram+),GCF_000154925.1,,yes,major,clavuligerus,ATCC 27064,Broad Institute,1901
GCF_000154945.1,PRJNA28553,ASM15494v1,Chromosome,na,SAMN02595222,2010-05-28,GCA_000154945.1,full,Streptomyces,Streptomyces pristinaespiralis ATCC 25486 (high GC Gram+),GCF_000154945.1,,yes,major,pristinaespiralis,ATCC 25486,Broad Institute,457429
GCF_000154965.1,PRJNA28555,ASM15496v1,Chromosome,na,SAMN02595223,2010-05-28,GCA_000154965.1,full,Streptomyces,Streptomyces sviceus ATCC 29083 (high GC Gram+),GCF_000154965.1,Representative Genome,yes,major,sviceus,ATCC 29083,Broad Institute,463191
